종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"002210","동성제약","KOSPI","의약품","7980","80","1.01","208285740600"
"102260","동성케미컬","KOSPI","서비스업","4660","100","2.19","231554132480"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","101500","0","0.00","644409899000"
"170900","동아에스티","KOSPI","의약품","67300","-200","-0.30","568439422300"
"028100","동아지질","KOSPI","건설업","17000","0","0.00","238894982000"
"282690","동아타이어","KOSPI","화학","10950","100","0.92","150376514250"
"001520","동양","KOSPI","비금속광물","1410","25","1.81","336544528830"
"001527","동양2우B","KOSPI","비금속광물","15850","0","0.00","4890818650"
"001529","동양3우B","KOSPI","비금속광물","51000","-1300","-2.49","4575822000"
"084670","동양고속","KOSPI","운수창고업","19400","-100","-0.51","56174038600"
"082640","동양생명","KOSPI","보험","6200","80","1.31","1000423227000"
"001525","동양우","KOSPI","비금속광물","7930","20","0.25","4898606830"
"008970","동양철관","KOSPI","철강금속","1165","50","4.48","138501362850"
"092780","동양피스톤","KOSPI","운수장비","5880","0","0.00","77430544800"
"049770","동원F&B","KOSPI","음식료품","172000","-5500","-3.10","663769328000"
"018500","동원금속","KOSPI","운수장비","882","4","0.46","41237850906"
"006040","동원산업","KOSPI","농업, 임업 및 어업","221000","3000","1.38","812758661000"
"030720","동원수산","KOSPI","농업, 임업 및 어업","9360","210","2.30","43559614800"
"014820","동원시스템즈","KOSPI","화학","53700","1400","2.68","1567417670700"
"014825","동원시스템즈우","KOSPI","화학","32900","100","0.30","8730278200"
"163560","동일고무벨트","KOSPI","화학","6840","50","0.74","95076000000"
"004890","동일산업","KOSPI","철강금속","180500","1500","0.84","437751307500"
"002690","동일제강","KOSPI","철강금속","2960","115","4.04","60089065600"
"000020","동화약품","KOSPI","의약품","12650","-100","-0.78","353333095500"
"000150","두산","KOSPI","서비스업","103500","8200","8.60","1710216922500"
"000157","두산2우B","KOSPI","서비스업","94200","1700","1.84","84124179600"
"241560","두산밥캣","KOSPI","기계","37850","350","0.93","3794430933100"
"000155","두산우","KOSPI","서비스업","72300","2000","2.84","288944202600"
"034020","두산중공업","KOSPI","기계","18700","100","0.54","9765705319700"
"336260","두산퓨얼셀","KOSPI","전기전자","37000","1200","3.35","2423267862000"
"33626K","두산퓨얼셀1우","KOSPI","전기전자","11700","200","1.74","156361140000"
"33626L","두산퓨얼셀2우B","KOSPI","전기전자","14300","350","2.51","42704090000"
"016740","두올","KOSPI","운수장비","3690","120","3.36","122016049200"
"192650","드림텍","KOSPI","전기전자","10950","250","2.34","715508817450"
"024090","디씨엠","KOSPI","철강금속","21900","100","0.46","256230000000"
"003160","디아이","KOSPI","의료정밀","7800","60","0.78","245674923000"
"092200","디아이씨","KOSPI","운수장비","4965","35","0.71","193081745085"
"377190","디앤디플랫폼리츠","KOSPI","서비스업","5370","-20","-0.37","345828000000"
"013570","디와이","KOSPI","기타금융","8330","0","0.00","219242542890"
"210540","디와이파워","KOSPI","기계","14100","300","2.17","155688082800"
"007340","디티알오토모티브","KOSPI","전기전자","69900","400","0.58","698580949500"
"115390","락앤락","KOSPI","화학","10050","0","0.00","518081660700"
"032350","롯데관광개발","KOSPI","서비스업","17900","50","0.28","1240034349800"
"089860","롯데렌탈","KOSPI","서비스업","38400","200","0.52","1406748019200"
"330590","롯데리츠","KOSPI","서비스업","5480","-20","-0.36","1331469484320"
"000400","롯데손해보험","KOSPI","보험","1760","25","1.44","546191923200"
"023530","롯데쇼핑","KOSPI","유통업","86400","-800","-0.92","2444148432000"
"004000","롯데정밀화학","KOSPI","화학","80200","1000","1.26","2069160000000"
"286940","롯데정보통신","KOSPI","서비스업","36000","1550","4.50","554267916000"
"280360","롯데제과","KOSPI","음식료품","117500","1500","1.29","753964247500"
"004990","롯데지주","KOSPI","기타금융","29050","100","0.35","3047613334850"
"00499K","롯데지주우","KOSPI","기타금융","47550","-800","-1.65","46961473650"
"005300","롯데칠성","KOSPI","음식료품","162500","-2000","-1.22","1507818650000"
"005305","롯데칠성우","KOSPI","음식료품","72400","-1400","-1.90","56132444000"
"011170","롯데케미칼","KOSPI","화학","228000","1500","0.66","7814795532000"
"002270","롯데푸드","KOSPI","음식료품","318000","2500","0.79","384479490000"
"071840","롯데하이마트","KOSPI","유통업","22750","100","0.44","537075448000"
